점검 구분,점검 항목,점검 기준,점검 방법,적합 여부,미적합 여부,개선사항
문서 분류,문서 분류 기준표 작성 및 적용,분류 기준표가 수립되고 일관되게 적용되는가?,문서 검토,□ 적합,□ 미적합,
문서 분류,문서 유형별 적절한 분류 실시,문서 유형에 따라 적절히 분류되었는가?,문서 검토,□ 적합,□ 미적합,
문서 분류,소유자 및 관리자 지정,각 문서별로 소유자와 관리자가 명확히 지정되었는가?,문서 검토,□ 적합,□ 미적합,
문서 분류,문서 위치 정보 관리,문서 저장 위치가 정확히 기록되었는가?,시스템 확인,□ 적합,□ 미적합,
중요도 평가,중요도 평가 기준 적용,중요도 평가 기준이 문서화되고 적용되었는가?,문서 검토,□ 적합,□ 미적합,
중요도 평가,"4개 영역(기밀성, 무결성, 가용성, 유출영향도) 평가",4개 평가 영역에 대해 모두 평가하였는가?,문서 검토,□ 적합,□ 미적합,
중요도 평가,평가 결과에 따른 등급 분류,평가 점수에 따라 적절한 등급이 부여되었는가?,문서 검토,□ 적합,□ 미적합,
위험 분석,위협 및 취약점 식별,자산별 위협과 취약점이 적절히 식별되었는가?,문서 검토,□ 적합,□ 미적합,
위험 분석,위험 시나리오 개발,현실적이고 구체적인 위험 시나리오가 작성되었는가?,문서 검토,□ 적합,□ 미적합,
위험 분석,위험도 산출 및 등급 분류,위험도 산출 공식에 따라 정확히 계산되었는가?,문서 검토,□ 적합,□ 미적합,
통제 방안,위험 처리 전략 선정,위험 등급에 따라 적절한 처리 전략이 선정되었는가?,문서 검토,□ 적합,□ 미적합,
통제 방안,보안 통제 방안 적용,선정된 통제 방안이 실제로 구현되었는가?,현장 확인,□ 적합,□ 미적합,
통제 방안,통제 방안 효과성 평가,통제 방안의 효과가 정기적으로 평가되는가?,문서 검토,□ 적합,□ 미적합,
통제 방안,통제 방안 지속적 개선,평가 결과에 따라 통제 방안이 개선되는가?,현장 확인,□ 적합,□ 미적합,
이행 점검,정기적 문서관리 현황 점검,문서관리 현황이 정기적으로 점검되는가?,문서 검토,□ 적합,□ 미적합,
이행 점검,직원 보안교육 실시,직원들이 문서보안에 대해 적절한 교육을 받았는가?,교육 기록 확인,□ 적합,□ 미적합,
이행 점검,규정 준수 여부 모니터링,문서관리 규정 준수 여부가 모니터링되는가?,시스템 로그 검토,□ 적합,□ 미적합,
