위험ID,자산명,위험등급,위험도,처리전략,상세방안,구현일정,담당자,예산(만원),예상효과,승인상태,승인자,승인일자
RISK-001,신제품 설계도면(P-2025-01),상 (High),50.4,위험 감소 (Risk Reduction),"1) 설계도면 DRM 적용
2) 네트워크 접근통제 강화
3) 직원 보안교육 실시",2025.07.01 ~ 2025.08.31,보안담당 권세창,300,위험도 50.4 → 15.0 (감소율 70%),승인,이성영,2025.06.10
RISK-002,PLM 시스템(설계개발),상 (High),72.0,위험 감소 (Risk Reduction),"1) PLM 시스템 보안패치 적용
2) 이중 인증 도입
3) 권한 관리 체계 구축",2025.06.15 ~ 2025.07.31,전산팀 권세창,500,위험도 72.0 → 25.0 (감소율 65%),승인,이성영,2025.06.10
RISK-003,SAP ERP 시스템,상 (High),56.0,위험 감소 (Risk Reduction),"1) ERP 시스템 백업 강화
2) 랜섬웨어 대응체계 구축
3) 사용자 보안교육 강화",2025.07.01 ~ 2025.09.30,전산팀 권세창,400,위험도 56.0 → 20.0 (감소율 64%),승인,이성영,2025.06.10
RISK-004,백업 관리 시스템,상 (High),50.4,위험 감소 (Risk Reduction),"1) 백업 정책 수립 및 시행
2) 복구 테스트 정기 실시
3) 백업 저장소 이중화",2025.06.01 ~ 2025.07.15,전산팀 권세창,200,위험도 50.4 → 18.0 (감소율 64%),승인,이성영,2025.06.10
RISK-005,고객승인서류(현대차),중 (Medium),33.6,위험 감소 (Risk Reduction),"1) 접근권한 재정비
2) 문서 분류체계 재수립
3) 내부 감사 체계 구축",2025.06.15 ~ 2025.07.30,원가영업실 조효제,100,위험도 33.6 → 12.0 (감소율 64%),검토중,-,-
RISK-006,직원정보 데이터베이스,상 (High),64.8,위험 감소 (Risk Reduction),"1) 개인정보 암호화 강화
2) 접근로그 모니터링 시스템 구축
3) 개인정보보호 교육 강화",2025.07.01 ~ 2025.08.15,노무팀 김영빈,250,위험도 64.8 → 22.0 (감소율 66%),승인,이성영,2025.06.11
RISK-007,MES 생산관리시스템,상 (High),54.0,위험 감소 (Risk Reduction),"1) 생산시스템 이중화 구축
2) 장애 복구 절차 수립
3) 시스템 보안패치 정기 적용",2025.06.20 ~ 2025.08.31,생산1실 박청식,800,위험도 54.0 → 20.0 (감소율 63%),승인,이성영,2025.06.12
RISK-008,도어핸들 설계도면(DH-2025-03),중 (Medium),33.6,위험 감소 (Risk Reduction),"1) 설계도면 접근통제 강화
2) 원격접속 보안 설정
3) 설계데이터 암호화",2025.07.01 ~ 2025.08.15,설계팀 김종훈,150,위험도 33.6 → 12.5 (감소율 63%),검토중,-,-
RISK-009,기아자동차 승인서류,중 (Medium),44.8,위험 감소 (Risk Reduction),"1) 이메일 보안 솔루션 도입
2) 피싱 대응 교육 실시
3) 승인서류 워터마킹 적용",2025.06.25 ~ 2025.08.10,원가영업실 조효제,120,위험도 44.8 → 16.0 (감소율 64%),승인,이성영,2025.06.13
RISK-010,도어시스템 특허출원서,중 (Medium),43.2,위험 감소 (Risk Reduction),"1) 특허정보 접근통제 강화
2) 특허문서 암호화
3) 특허정보 유출 모니터링",2025.07.15 ~ 2025.09.30,외주관리팀 백만기,100,위험도 43.2 → 15.0 (감소율 65%),검토중,-,-
